가맹점ID,가맹점명,가맹점유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지도로명주소상세정보,소재지지번주소,소재지지번주소상세정보,전화번호,사업자번호,종사업자번호,대표자명,사업자상태,사업자상태변경일,프랜차이즈명,일반직영,음식점분류,시설정보구분,위도,경도,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,배달시작시각,배달종료시각,아침점심저녁구분,배달가능여부,관리기관,관리기관전화번호,데이터기준일자
22110039,불닭발땡초동대문엽기떡볶이성서계명대점,10,대구,달서구,27290,이곡공원로 24,,이곡동 1248,,053-587-8591,1213992016,,이유근,01,,동대문엽기떡볶이,01,12,30,35.85496566,128.5099875,1100,2300,1100,2300,1100,2300,1100,2300,3+5,Y,달서구청,053-667-2536,2022-11-01 17:21:31
22110038,얌샘김밥 대구계명대점,10,대구,달서구,27290,계대동문로3안길 22,,신당동 1697-20,,053-587-3378,6374100542,,박경진,01,,얌샘김밥,01,12+13+18,30,35.85892304,128.4928316,1000,2000,1000,2000,0000,0000,1000,2000,1+3+5,Y,달서구청,053-667-2536,2022-11-01 13:41:20
22110037,행컵 (계명대점),10,대구,달서구,27290,계대동문로3안길 77,,신당동 1712-11,,053-581-5233,2407300280,,최지영,01,2019-07-01,행컵,01,12+13+18,30,35.8564375,128.4927784,1000,2100,1000,2100,1000,2100,1000,2100,1+3+5,Y,달서구청,053-667-2536,2022-11-01 13:40:28
22110036,이마트24대구사월역점,20,대구,수성구,27260,달구벌대로 3303,,사월동 419-1,,02-6916-1500,5140954352,,이태희,01,,이마트 24,01,23,60,35.8368793,128.7173717,0700,0000,0700,0000,0700,0000,,,1+3+5,N,수성구청,053-666-4646,2022-11-01 13:40:13
22110035,수가성,10,대구,달서구,27290,이곡공원로1길 54,,이곡동 135,,053-582-3633,5031888005,,최병기,01,2008-01-01,수가성,01,11,30,35.8567692,128.5090727,1040,2200,1040,2200,1040,2200,1100,2120,3+5,Y,달서구청,053-667-2536,2022-11-01 13:39:32
22110034,이마트24  두산미래점,20,대구,수성구,27260,청수로24길 14,,두산동 18-1,,053-762-2066,5020836581,,김규식,01,,이마트 24,01,23,60,35.83934458,128.6211629,0000,0000,0000,0000,0000,0000,,,1+3+5,N,수성구청,053-666-4646,2022-11-01 13:39:29
22110033,이마트24 신매공원점,20,대구,수성구,27260,달구벌대로650길 53,,욱수동 262-1,,053-795-6788,5561001398,,이영근,01,,이마트 24,01,23,60,35.83382638,128.7093579,0000,0000,0000,0000,0000,0000,,,1+3+5,N,수성구청,053-666-4646,2022-11-01 13:38:48
22110032,이마트24 R범물청구점,20,대구,수성구,27260,지범로39길 13,,범물동 1277-11,,053-213-8759,5452300443,,신정숙,01,,이마트 24,01,23,60,35.82060877,128.6421301,0000,0000,0000,0000,0000,0000,,,1+3+5,N,수성구청,053-666-4646,2022-11-01 13:37:42
22110031,이마트24 수성구청역점,20,대구,수성구,27260,달구벌대로 2491,세기빌딩,범어동 171-4,세기빌딩,070-7701-8931,6208151020,,김상훈,01,,이마트 24,01,23,60,35.85917924,128.6352053,0700,2300,0700,2300,0700,2300,,,1+3+5,N,수성구청,053-666-4646,2022-11-01 13:37:05
22110030,이마트24 R두산센텀점,20,대구,수성구,27260,무학로21길 100,,두산동 131-7,,053-767-9201,6118801388,,권준민,01,,이마트 24,01,23,60,35.83454223,128.6210473,0600,0000,0600,0000,0600,0000,,,1+3+5,N,수성구청,053-666-4646,2022-11-01 13:36:26
